1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
481	-1.070570	230.869124	23.701212	0.005648	1.2
482	-1.084229	230.610758	23.725549	0.005993	1.3
483	-1.076098	231.610701	23.631633	0.004435	1.4
484	-1.076376	231.352334	23.655828	0.003347	1.3
485	-1.054956	231.094065	23.680064	0.005654	1.3
486	-1.068892	231.302360	23.660514	0.004337	1.2
487	-1.023919	231.043994	23.684768	0.005833	1.6
488	-1.065583	232.043994	23.591168	0.004540	1.2
489	-1.060690	233.033330	23.499292	0.005660	1.2
490	-1.051266	232.774964	23.523217	0.003908	1.2
491	-1.038090	233.774940	23.430889	0.005223	1.2
492	-1.036577	233.516579	23.454674	0.003864	1.2
493	-1.082440	233.258213	23.478508	0.005934	1.2
494	-1.074805	234.258213	23.386528	0.003734	1.9
495	-1.049363	234.862663	23.331280	0.006718	1.5
496	-1.049476	234.604301	23.354863	0.004144	1.8
497	-1.045792	235.604301	23.263848	0.004110	2.1
498	-1.073059	235.346384	23.287254	0.005890	1.3
499	-1.051991	236.345672	23.196829	0.007743	1.6
